CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
746,France,Male,82,8,67823.08,2,0,1,134709.96,1
494,Germany,Female,75,4,233909.65,4,0,0,22770.14,0
341,Germany,Male,57,0,33353.28,2,0,0,148009.36,1
322,France,Male,51,10,99483.75,3,1,1,105475.62,0
515,Germany,Female,62,1,250797.58,4,1,0,99859.46,0
512,Spain,Female,81,9,11466.28,1,1,1,138112.75,0
605,Spain,Male,47,7,142643.54,1,1,0,189310.27,0
510,Germany,Male,54,6,129724.8,1,0,0,166287.25,1
732,France,Female,36,9,0.0,1,0,0,3749.0,1
776,Spain,Male,49,1,73995.45,4,1,0,191611.54,0
540,Germany,Male,39,1,82531.11,1,1,0,114092.52,0
673,France,Male,59,0,178058.06,2,0,1,21063.71,1
621,France,Male,34,6,0.0,2,1,1,99128.13,0
734,Germany,Female,52,6,71283.09,2,0,1,38984.37,0
624,Germany,Female,34,3,219451.14,3,1,0,50483.01,0
669,France,Male,50,9,201009.64,1,1,0,158032.5,1
850,France,Male,19,8,0.0,1,1,1,68569.89,0
607,France,Female,31,1,102523.88,1,1,1,166792.71,0
632,Spain,Male,47,3,0.0,2,1,0,178822.32,0
866,Germany,Female,86,10,28555.69,2,0,1,155003.58,1
817,France,Female,55,10,117561.49,1,1,0,95941.55,1
711,France,Female,29,9,0.0,2,0,1,3234.8,0
582,Germany,Female,40,3,110150.43,1,1,1,191757.65,1
658,France,Male,39,7,0.0,2,1,0,48378.4,0
601,Germany,Male,54,8,174748.25,1,0,0,66042.97,1
711,France,Male,49,10,83388.28,4,1,1,165567.98,0
787,Spain,Male,39,10,108935.39,1,1,1,101168.3,0
696,Spain,Female,92,4,85223.95,1,1,0,11867.98,1
872,Spain,Female,43,3,148918.55,2,0,0,65633.88,0
698,Spain,Female,37,3,185068.73,2,1,0,86161.43,0
735,France,Female,33,4,0.0,2,1,0,149474.69,0
705,Spain,Male,46,7,0.0,2,1,0,117273.35,0
657,France,Male,29,5,164827.39,1,1,1,131014.73,1
718,France,Female,43,0,93143.39,1,1,0,167554.86,0
418,France,Female,39,2,0.0,2,0,0,9041.71,0
315,Spain,Male,52,2,29672.86,3,0,0,173443.23,1
745,France,Female,68,0,251790.5,2,1,1,103745.07,1
711,Spain,Female,80,4,106459.34,2,1,0,37877.6,0
553,France,Male,31,6,0.0,2,0,0,124596.63,0
499,Spain,Male,26,5,88191.14,4,0,0,87683.13,0
530,France,Female,48,0,0.0,1,1,0,85081.09,0
722,Spain,Female,67,6,11328.67,1,1,0,121571.81,0
847,Spain,Male,65,9,66255.11,2,0,0,7937.62,0
888,France,Male,93,8,183492.91,1,1,0,72237.79,0
838,Germany,Male,30,2,188421.27,4,0,1,31177.39,0
676,France,Male,73,3,155165.2,2,1,1,56018.99,0
491,Germany,Male,70,6,148745.92,2,1,1,17818.33,0
825,France,Male,34,9,0.0,2,1,1,31933.06,0
723,France,Male,89,7,125996.52,3,0,1,121260.88,0
472,Spain,Female,39,10,233787.81,4,1,0,181437.26,0
418,France,Male,34,8,155973.88,1,1,0,154208.96,0
445,Germany,Female,61,2,137655.31,1,0,1,29909.84,0
456,Spain,Male,33,7,113615.05,2,1,1,50803.35,1
856,Spain,Female,20,5,104478.27,4,1,0,109515.82,1
495,Spain,Female,45,3,89158.94,3,1,0,135169.76,1
643,Spain,Female,45,9,150840.03,2,1,0,155516.35,0
531,Spain,Male,70,1,0.0,2,0,0,99503.19,0
612,Spain,Male,33,5,69478.57,1,1,0,8973.67,1
665,Spain,Male,38,9,0.0,1,0,1,87412.74,0
729,Germany,Male,83,7,260744.37,4,1,1,94284.1,0
672,Germany,Female,23,10,110741.56,1,1,0,80778.5,0
360,Spain,Female,43,4,48509.12,2,0,1,20020.43,1
694,Germany,Female,58,1,143212.22,1,0,0,102628.56,1
774,Spain,Male,69,3,178121.02,2,0,0,186916.27,0
725,Germany,Male,45,8,116917.07,1,0,0,173464.43,1
567,France,Female,38,1,125877.65,2,1,1,107841.77,0
304,Germany,Male,56,0,260689.15,2,0,1,62528.44,1
510,France,Female,22,3,156834.34,1,0,0,44374.44,0
438,France,Male,59,5,222491.06,4,0,0,137849.3,0
502,France,Male,45,0,0.0,1,0,0,84663.21,0
473,France,Female,35,6,69617.36,1,1,0,143345.69,0
625,France,Female,58,10,53772.73,1,1,1,192072.1,1
850,Spain,Female,29,1,0.0,2,1,1,197996.65,0
477,Germany,Female,36,3,117700.86,1,0,0,74042.0,0
612,Spain,Male,62,8,206190.04,3,1,0,55155.7,1
549,Spain,Male,91,5,32100.94,3,1,1,55614.75,1
729,France,Male,67,2,94203.8,1,0,1,102391.06,0
561,France,Male,34,1,78829.53,1,1,1,12148.2,0
786,France,Male,32,2,120452.4,2,0,0,79602.86,0
566,Germany,Female,39,9,251791.09,4,1,0,144753.68,1
330,France,Male,65,7,122605.96,2,0,0,1589.21,0
